"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2010";3601;1434;2167
" ";" ";"2011";3446;1362;2084
" ";" ";"2012";3203;1336;1867
" ";" ";"2013";3135;1370;1765
" ";" ";"2014";3128;1398;1730
" ";" ";"2015";3156;1423;1733
" ";" ";"2016";3198;1546;1652
" ";" ";"2017 (zaèasni podatki)";3220;1542;1678
" ";"19"
" ";" ";"2009";3166;1621;1545
" ";" ";"2010";3072;1636;1436
" ";" ";"2011";3014;1619;1395
" ";" ";"2012";2887;1559;1328
" ";" ";"2013";2792;1502;1290
" ";" ";"2014";2803;1507;1296
" ";" ";"2015";2689;1478;1211
" ";" ";"2016";2662;1454;1208
" ";" ";"2017 (zaèasni podatki)";2816;1587;1229
" ";"20"
" ";" ";"2009";3018;1929;1089
" ";" ";"2010";2790;1761;1029
" ";" ";"2011";2651;1684;967
" ";" ";"2012";2622;1659;963
" ";" ";"2013";2592;1662;930
" ";" ";"2014";2567;1679;888
" ";" ";"2015";2477;1606;871
" ";" ";"2016";2497;1609;888
" ";" ";"2017 (zaèasni podatki)";2724;1719;1005
"Koroška"
" ";"Razred neto - SKUPAJ"
" ";" ";"2009";18409;10150;8259
" ";" ";"2010";16621;9517;7104
" ";" ";"2011";16467;9314;7153
" ";" ";"2012";16493;9437;7056
" ";" ";"2013";16199;9073;7126
" ";" ";"2014";16175;9214;6961
" ";" ";"2015";15613;8768;6845
" ";" ";"2016";15680;8776;6904
" ";" ";"2017 (zaèasni podatki)";15844;8804;7040
" ";"01"
" ";" ";"2009";697;338;359
" ";" ";"2010";646;323;323
" ";" ";"2011";666;321;345
" ";" ";"2012";827;392;435
" ";" ";"2013";747;331;416
" ";" ";"2014";767;316;451
" ";" ";"2015";760;313;447
" ";" ";"2016";685;299;386
" ";" ";"2017 (zaèasni podatki)";737;316;421
" ";"02"
" ";" ";"2009";1064;340;724
" ";" ";"2010";741;283;458
" ";" ";"2011";833;331;502
" ";" ";"2012";700;281;419
" ";" ";"2013";804;312;492
" ";" ";"2014";693;277;416
" ";" ";"2015";656;280;376
" ";" ";"2016";643;231;412
" ";" ";"2017 (zaèasni podatki)";650;216;434
" ";"03"
" ";" ";"2009";1076;390;686
" ";" ";"2010";880;382;498
" ";" ";"2011";765;352;413
" ";" ";"2012";741;379;362
" ";" ";"2013";629;299;330
" ";" ";"2014";700;309;391
" ";" ";"2015";671;284;387
" ";" ";"2016";680;286;394
" ";" ";"2017 (zaèasni podatki)";670;269;401
" ";"04"
" ";" ";"2009";1106;495;611
" ";" ";"2010";861;425;436
" ";" ";"2011";800;396;404
" ";" ";"2012";845;392;453
" ";" ";"2013";768;317;451
" ";" ";"2014";773;356;417
" ";" ";"2015";706;299;407
" ";" ";"2016";664;271;393
" ";" ";"2017 (zaèasni podatki)";772;328;444
" ";"05"
" ";" ";"2009";1101;623;478
" ";" ";"2010";901;513;388
